start,path,missing_reactions,num_missing,flux,blocked_reactions,dead_end_metabolites
cpd00254_e0,"['cpd00254_e0', 'cpd00008_c0', 'cpd00211_c0']","['rxn10571', 'rxn01236']",2,0.0,['rxn01236'],['cpd01662_c0']
cpd00205_e0,"['cpd00205_e0', 'cpd00008_c0', 'cpd00211_c0']","['rxn18910', 'rxn01236']",2,0.0,['rxn01236'],"['cpd00205_e0', 'cpd01662_c0']"
cpd00166_e0,"['cpd00166_e0', 'cpd00008_c0', 'cpd00211_c0']","['rxn18671', 'rxn01236']",2,0.0,['rxn01236'],"['cpd00166_e0', 'cpd01662_c0']"
cpd00322_e0,"['cpd00322_e0', 'cpd00008_c0', 'cpd00211_c0']","['rxn08745', 'rxn01236']",2,0.0,['rxn01236'],"['cpd00322_e0', 'cpd01662_c0']"
cpd00104_e0,"['cpd00104_e0', 'cpd00008_c0', 'cpd00211_c0']","['rxn05223', 'rxn01236']",2,0.0,['rxn01236'],"['cpd00104_e0', 'cpd01662_c0']"
cpd10515_e0,"['cpd10515_e0', 'cpd00008_c0', 'cpd00211_c0']","['rxn08472', 'rxn01236']",2,0.0,['rxn01236'],['cpd01662_c0']
cpd00034_e0,"['cpd00034_e0', 'cpd00008_c0', 'cpd00211_c0']","['rxn09392', 'rxn01236']",2,0.0,['rxn01236'],"['cpd00034_e0', 'cpd01662_c0']"
cpd00066_e0,"['cpd00066_e0', 'cpd00008_c0', 'cpd00211_c0']","['rxn18584', 'rxn01236']",2,0.0,['rxn01236'],"['cpd01662_c0', 'cpd00066_e0']"
cpd00149_e0,"['cpd00149_e0', 'cpd00008_c0', 'cpd00211_c0']","['rxn05166', 'rxn01236']",2,0.0,['rxn01236'],['cpd01662_c0']
cpd00058_e0,"['cpd00058_e0', 'cpd00001_c0', 'cpd00211_c0']","['rxn29072', 'rxn45696']",2,0.0,['rxn45696'],"['cpd32214_c0', 'cpd00211_c0', 'cpd24202_c0']"
cpd00029_e0,"['cpd00029_e0', 'cpd00029_c0', 'cpd00211_c0']","['rxn31359', 'rxn13427']",2,0.0,['rxn13427'],['cpd16910_c0']
