model_id,Butyrate_min,Butyrate_max,Propionate_min,Propionate_max,Butyrate_status,Propionate_status
MAG005.sbml_gapfilled_noO2,,,0.0,0.0,no_reaction,blocked
MAG010.sbml_gapfilled_noO2,,,0.0,0.0,no_reaction,blocked
MAG018.sbml_gapfilled_noO2,,,0.0,0.0,no_reaction,blocked
MAG038_gapfilled_noO2,,,0.0,0.0,no_reaction,blocked
MAG041_gapfilled_noO2,,,0.0,0.0,no_reaction,blocked
MAG070_gapfilled_noO2,,,0.0,0.0,no_reaction,blocked
MAG071_gapfilled_noO2,0.0,0.0,0.0,0.0,blocked,blocked
MAG099_gapfilled_noO2,,,0.0,0.0,no_reaction,blocked
MAG106_gapfilled_noO2,,,0.0,0.0,no_reaction,blocked
MAG189_gapfilled_noO2,0.0,1000.0,0.0,0.0,active,blocked
